title,url,note
Why Chinese Students study so hard,https://www.youtube.com/watch?v=RDkTgc1SeYU,essay / explainer — not a Short
Are Chinese People Sick? Unfinished 3M Homework…,https://www.youtube.com/watch?v=irBgHtzkGxo,extreme homework volume
Student cries tears of joy after high score in China…,https://www.youtube.com/watch?v=VzSlFJ6vPGU,emotional stakes / gaokao culture
Why Chinese Education Feels Like a Mental Health Crisis,https://www.youtube.com/watch?v=bbEtekrw5X8,
Inside the Intense Chinese Education System,https://www.youtube.com/watch?v=CYgaTwFYBPo,essay / explainer — check tone before use
How Chinese Students Stay So Disciplined (It’s Not Just Luck),https://www.youtube.com/watch?v=rMzi4GyYTuE,
Asia’s Brutal Education…,https://www.youtube.com/watch?v=DDVkXdRlZBA,commentary — very strong title; sample before compiling
More Chinese Have Mental Health Issues — Can They Get Help?,https://www.youtube.com/watch?v=OBUxn2AkyVA,
2021 Education Summit — rural China mental health session,https://www.youtube.com/watch?v=irNySv71RrQ,
Inside a Chinese high-pressure middle school: the reality,https://www.youtube.com/watch?v=TU3AptSeA1U,daily life / campus tone — sample first
High school in China still gives me nightmares,https://www.youtube.com/watch?v=m5ag8-y1RgM,personal reflection on long-term stress
Why did I break down after I aced China’s gaokao?,https://www.youtube.com/watch?v=R9Op7r1TiFo,post-exam crash / hollow win narrative
The invisible pressure of Chinese students,https://www.youtube.com/watch?v=GkQcHEl2sVs,documentary-style stress portrait
China’s education pressure pushes families toward homeschooling,https://www.youtube.com/watch?v=h4IdBIVX9sk,system pushback / exit theme
